"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
56;3;"—";213;"74 54 83";2;"Участвуете в конкурсе";2050881;"13.07.2026 в 20:00"
57;5;"—";212;"70 70 70";2;"Участвуете в конкурсе";1185698;"01.07.2026 в 16:43"
58;2;"—";211;"70 53 81";7;"Участвуете в конкурсе";1281485;"01.07.2026 в 10:40"
59;5;"Электронное";211;"74 67 63";7;"Участвуете в конкурсе";1802859;"08.07.2026 в 08:00"
60;3;"—";210;"74 65 69";2;"Участвуете в конкурсе";1577933;"03.07.2026 в 19:30"
61;5;"—";209;"70 54 83";2;"Участвуете в конкурсе";1978838;"11.07.2026 в 14:38"
62;3;"—";209;"72 77 58";2;"Участвуете в конкурсе";2075732;"14.07.2026 в 13:03"
63;3;"—";209;"80 70 52";7;"Участвуете в конкурсе";1857376;"13.07.2026 в 22:14"
64;3;"—";208;"70 64 72";2;"Конкурсная группа исключена";1259913;"29.06.2026 в 21:42"
65;1;"Бумажное";208;"64 68 66";10;"Участвуете в конкурсе";1374187;"01.07.2026 в 08:48"
66;1;"Электронное";208;"76 65 57";10;"Участвуете в конкурсе";1429514;"01.07.2026 в 18:41"
67;5;"Электронное";208;"70 64 64";10;"Участвуете в конкурсе";1579959;"03.07.2026 в 20:23"
68;4;"—";208;"70 64 64";10;"Участвуете в конкурсе";1836056;"08.07.2026 в 15:12"
69;4;"—";208;"58 70 70";10;"На рассмотрении";2229340;"17.07.2026 в 23:20"
70;1;"Бумажное";207;"66 54 85";2;"Участвуете в конкурсе";947974;"20.06.2026 в 09:45"
71;5;"—";207;"80 61 64";2;"Участвуете в конкурсе";1948442;"10.07.2026 в 15:26"
72;2;"—";207;"72 62 63";10;"Участвуете в конкурсе";1483296;"02.07.2026 в 14:00"
73;3;"—";207;"64 67 66";10;"Участвуете в конкурсе";1717214;"06.07.2026 в 18:17"
74;3;"Электронное";206;"72 64 70";0;"Участвуете в конкурсе";1569310;"03.07.2026 в 18:28"
75;4;"Электронное";206;"76 64 64";2;"Участвуете в конкурсе";1350560;"30.06.2026 в 18:17"
76;5;"—";206;"70 62 72";2;"Участвуете в конкурсе";1881606;"09.07.2026 в 12:43"
77;3;"Электронное";206;"70 59 67";10;"Участвуете в конкурсе";1191119;"28.06.2026 в 12:56"
78;1;"—";205;"64 67 72";2;"Участвуете в конкурсе";950149;"20.06.2026 в 10:15"
79;1;"—";205;"76 64 63";2;"Участвуете в конкурсе";1222168;"29.06.2026 в 08:47"
80;5;"Бумажное";205;"72 62 69";2;"Участвуете в конкурсе";1383136;"01.07.2026 в 10:46"
81;2;"—";205;"76 67 60";2;"Участвуете в конкурсе";1558525;"13.07.2026 в 18:08"
82;4;"—";204;"64 64 66";10;"Участвуете в конкурсе";1711489;"06.07.2026 в 17:20"
83;1;"—";202;"72 65 63";2;"Участвуете в конкурсе";1066612;"04.07.2026 в 16:18"
84;4;"—";202;"64 64 64";10;"Участвуете в конкурсе";1301057;"06.07.2026 в 14:37"
85;4;"—";202;"64 70 58";10;"Участвуете в конкурсе";1334074;"30.06.2026 в 15:20"
86;2;"—";201;"70 51 70";10;"Участвуете в конкурсе";1842728;"08.07.2026 в 16:39"
87;3;"Бумажное";199;"74 62 61";2;"Участвуете в конкурсе";1297961;"30.06.2026 в 08:28"
88;5;"—";199;"64 75 58";2;"Участвуете в конкурсе";1593614;"04.07.2026 в 09:53"
89;4;"—";199;"76 64 49";10;"На рассмотрении";1272154;"15.07.2026 в 16:01"
90;4;"—";199;"72 51 66";10;"На рассмотрении";1636092;"05.07.2026 в 13:30"
91;3;"—";198;"64 59 73";2;"Участвуете в конкурсе";1850011;"09.07.2026 в 13:01"
92;3;"Бумажное";197;"70 73 52";2;"Участвуете в конкурсе";1936521;"10.07.2026 в 12:44"
93;4;"—";197;"84 44 67";2;"На рассмотрении";2131188;"15.07.2026 в 16:22"
94;5;"Электронное";196;"74 56 66";0;"Участвуете в конкурсе";1310137;"30.06.2026 в 11:14"
95;2;"—";196;"74 62 60";0;"Участвуете в конкурсе";1727469;"06.07.2026 в 22:07"
96;2;"—";196;"74 62 58";2;"Участвуете в конкурсе";1718694;"06.07.2026 в 18:47"
97;2;"Электронное";196;"64 61 69";2;"Участвуете в конкурсе";1907035;"09.07.2026 в 19:10"
98;2;"Бумажное";196;"64 74 54";4;"На рассмотрении";2208961;"17.07.2026 в 14:18"
99;4;"—";196;"72 65 49";10;"Конкурсная группа исключена";1447342;"02.07.2026 в 14:52"
100;4;"—";196;"70 58 58";10;"Участвуете в конкурсе";1692173;"06.07.2026 в 13:44"
101;4;"—";194;"64 71 57";2;"Участвуете в конкурсе";1497230;"02.07.2026 в 16:19"
102;1;"—";194;"70 54 60";10;"На рассмотрении";1169324;"15.07.2026 в 13:34"
103;4;"—";194;"52 54 78";10;"Конкурсная группа исключена";1326102;"30.06.2026 в 13:53"
104;4;"—";193;"72 61 58";2;"Участвуете в конкурсе";1960293;"10.07.2026 в 20:24"
105;5;"—";193;"72 56 63";2;"Участвуете в конкурсе";2094200;"14.07.2026 в 18:51"
106;4;"—";192;"72 48 70";2;"Участвуете в конкурсе";1314372;"30.06.2026 в 11:55"
